id_partida,data_jogo,campeonato,home_team,away_team,period,group,name,home_value,away_value,home_total,away_total,compare_code,key,resultado
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Shots,Shots inside box,5.0,4.0,,,1,totalShotsInsideBox,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Shots,Shots outside box,5.0,11.0,,,2,totalShotsOutsideBox,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Attack,Big chances scored,1.0,0.0,,,1,bigChanceScored,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Attack,Big chances missed,1.0,1.0,,,3,bigChanceMissed,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Attack,Fouled in final third,1.0,1.0,,,3,fouledFinalThird,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Attack,Offsides,3.0,4.0,,,2,offsides,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Passes,Accurate passes,340.0,378.0,,,2,accuratePasses,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Passes,Throw-ins,20.0,18.0,,,1,throwIns,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Passes,Final third entries,53.0,64.0,,,2,finalThirdEntries,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Passes,Long balls,27.0,28.0,60.0,52.0,2,accurateLongBalls,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Passes,Crosses,3.0,5.0,10.0,25.0,1,accurateCross,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Duels,Duels,48.0,52.0,,,2,duelWonPercent,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Duels,Dispossessed,10.0,4.0,,,1,dispossessed,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Duels,Ground duels,41.0,45.0,86.0,86.0,2,groundDuelsPercentage,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Duels,Aerial duels,13.0,13.0,26.0,26.0,3,aerialDuelsPercentage,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Duels,Dribbles,13.0,17.0,23.0,26.0,2,dribblesPercentage,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Defending,Tackles won,7.0,11.0,13.0,20.0,2,wonTacklePercent,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Defending,Total tackles,13.0,20.0,,,2,totalTackle,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Defending,Interceptions,11.0,7.0,,,1,interceptionWon,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Defending,Recoveries,53.0,56.0,,,2,ballRecovery,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Defending,Clearances,15.0,13.0,,,1,totalClearance,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Goalkeeping,Total saves,3.0,2.0,,,1,goalkeeperSaves,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Goalkeeping,Goals prevented,0.044,-0.1948,,,1,goalsPrevented,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Goalkeeping,Goal kicks,12.0,5.0,,,1,goalKicks,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Ball possession,48.0,52.0,,,2,ballPossession,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Expected goals,0.53,0.26,,,1,expectedGoals,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Big chances,2.0,1.0,,,1,bigChanceCreated,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Total shots,5.0,7.0,,,2,totalShotsOnGoal,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Goalkeeper saves,2.0,0.0,,,1,goalkeeperSaves,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Corner kicks,0.0,1.0,,,2,cornerKicks,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Passes,216.0,236.0,,,2,passes,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Tackles,5.0,10.0,,,2,totalTackle,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Free kicks,8.0,3.0,,,1,freeKicks,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Match overview,Yellow cards,0.0,3.0,,,2,yellowCards,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Shots,Total shots,5.0,7.0,,,2,totalShotsOnGoal,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Shots,Shots on target,1.0,2.0,,,2,shotsOnGoal,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Shots,Hit woodwork,0.0,0.0,,,3,hitWoodwork,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Shots,Shots off target,3.0,3.0,,,3,shotsOffGoal,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Shots,Blocked shots,1.0,2.0,,,2,blockedScoringAttempt,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Shots,Shots inside box,3.0,1.0,,,1,totalShotsInsideBox,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Shots,Shots outside box,2.0,6.0,,,2,totalShotsOutsideBox,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Attack,Big chances scored,1.0,0.0,,,1,bigChanceScored,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Attack,Big chances missed,1.0,1.0,,,3,bigChanceMissed,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Attack,Fouled in final third,1.0,0.0,,,1,fouledFinalThird,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Attack,Offsides,3.0,2.0,,,1,offsides,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Passes,Accurate passes,177.0,190.0,,,2,accuratePasses,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Passes,Throw-ins,10.0,6.0,,,1,throwIns,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Passes,Final third entries,27.0,31.0,,,2,finalThirdEntries,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Passes,Long balls,14.0,15.0,32.0,27.0,2,accurateLongBalls,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Passes,Crosses,2.0,0.0,7.0,5.0,1,accurateCross,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Duels,Duels,50.0,50.0,,,3,duelWonPercent,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Duels,Dispossessed,5.0,1.0,,,1,dispossessed,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Duels,Ground duels,18.0,18.0,36.0,36.0,3,groundDuelsPercentage,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,1ST,Duels,Aerial duels,4.0,4.0,8.0,8.0,3,aerialDuelsPercentage,
