detailedStatsLink,competitionDescription,logo,nameSeason,possibleGames,gamesPlayed,goalsScored,assists,yellowCards,secondYellowCards,redCards,startElevenPercent,minutesPlayedPercent,goalsContributedPercent,goalkeeper,concededGoals,cleanSheets,blockedPenaltyPercent,minutesPlayed,player_id,player_name,player_number
/pablo-solari/leistungsdatendetails/spieler/756991/wettbewerb/AR1N/saison/2023,Liga Profesional,https://tmssl.akamaized.net//images/logo/normal/ar1n.png?lm=1612869286,2024,18.0,12.0,1.0,1.0,1.0,0.0,0.0,55.55555555555556,49.44444444444444,9.523809523809524,False,0.0,0.0,0.0,801.0,756991,Pablo Solari,36
/pablo-solari/leistungsdatendetails/spieler/756991/wettbewerb/CLI/saison/2023,Libertadores,https://tmssl.akamaized.net//images/logo/normal/cli.png?lm=1483122483,2024,10.0,7.0,1.0,2.0,0.0,0.0,0.0,40.0,38.0,17.647058823529413,False,0.0,0.0,0.0,342.0,756991,Pablo Solari,36
/pablo-solari/leistungsdatendetails/spieler/756991/wettbewerb/ARCA/saison/2023,Copa Argentina,https://tmssl.akamaized.net//images/logo/normal/arca.png?lm=1641845291,2024,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.777777777777777,0.0,False,0.0,0.0,0.0,23.0,756991,Pablo Solari,36
/pablo-solari/leistungsdatendetails/spieler/756991/wettbewerb/CDCA/saison/2023,Copa de la Liga - Playoffs,https://tmssl.akamaized.net//images/logo/normal/cdca.png?lm=1647533050,2024,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.22222222222222,0.0,False,0.0,0.0,0.0,20.0,756991,Pablo Solari,36
/pablo-solari/leistungsdatendetails/spieler/756991/wettbewerb/CDLP/saison/2023,Copa de la Liga,https://tmssl.akamaized.net//images/logo/normal/cdlp.png?lm=1647591044,2024,14.0,9.0,3.0,2.0,0.0,0.0,0.0,42.857142857142854,42.77777777777778,19.230769230769234,False,0.0,0.0,0.0,539.0,756991,Pablo Solari,36
/maxi-meza/leistungsdatendetails/spieler/282476/wettbewerb/MEXA/saison/2024,Liga MX Apertura,https://tmssl.akamaized.net//images/logo/normal/mexa.png?lm=1406287644,24/25,4.0,3.0,0.0,0.0,1.0,0.0,0.0,75.0,55.27777777777778,0.0,False,0.0,0.0,0.0,199.0,282476,Maxi Meza,8
/maxi-meza/leistungsdatendetails/spieler/282476/wettbewerb/AR1N/saison/2023,Liga Profesional,https://tmssl.akamaized.net//images/logo/normal/ar1n.png?lm=1612869286,2024,8.0,4.0,1.0,0.0,0.0,0.0,0.0,37.5,39.30555555555556,14.285714285714285,False,0.0,0.0,0.0,283.0,282476,Maxi Meza,8
/maxi-meza/leistungsdatendetails/spieler/282476/wettbewerb/CLI/saison/2023,Libertadores,https://tmssl.akamaized.net//images/logo/normal/cli.png?lm=1483122483,2024,4.0,3.0,0.0,1.0,0.0,0.0,0.0,75.0,59.72222222222222,20.0,False,0.0,0.0,0.0,215.0,282476,Maxi Meza,8
/maxi-meza/leistungsdatendetails/spieler/282476/wettbewerb/USMX/saison/2023,Leagues Cup,https://tmssl.akamaized.net//images/logo/normal/usmx.png?lm=1675615496,2024,2.0,2.0,0.0,0.0,1.0,0.0,0.0,50.0,34.44444444444444,0.0,False,0.0,0.0,0.0,62.0,282476,Maxi Meza,8
/ian-subiabre/leistungsdatendetails/spieler/1074969/wettbewerb/AR1N/saison/2023,Liga Profesional,https://tmssl.akamaized.net//images/logo/normal/ar1n.png?lm=1612869286,2024,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43209876543209874,0.0,False,0.0,0.0,0.0,7.0,1074969,Ian Subiabre,38
